snapped_at,price,market_cap,total_volume
2018-09-24 00:00:00 UTC,11.46101052811768,103213593427.20235,1424431452.242644
2018-09-25 00:00:00 UTC,10.856059934021598,97748755691.61902,1226745443.168185
2018-09-26 00:00:00 UTC,10.455422813039899,94098805306.90367,1187220306.3752546
2018-09-27 00:00:00 UTC,10.486687154104278,94389768086.76904,972175327.4018822
2018-09-28 00:00:00 UTC,11.081609996576931,99728906462.45612,1280648032.1194346
2018-09-29 00:00:00 UTC,10.798358880595774,97187504499.48927,968342423.8304245
2018-09-30 00:00:00 UTC,10.961591937133964,98631545392.6386,934294308.1066529
2018-10-01 00:00:00 UTC,11.031142162533058,99285232100.5833,818588990.4602095
2018-10-02 00:00:00 UTC,11.806516673443015,106323060954.03354,2010875523.9828596
2018-10-03 00:00:00 UTC,11.847141030576003,106641559392.38872,2942198955.27618
2018-10-04 00:00:00 UTC,11.664777313032676,105074891775.11249,1483703527.0694716
2018-10-05 00:00:00 UTC,11.693406171400571,105240655530.91173,1610236523.293055
2018-10-06 00:00:00 UTC,12.069140034413781,108603078882.87404,1100797087.9369645
2018-10-07 00:00:00 UTC,11.79918314958228,106184371823.6932,878549909.880983
2018-10-08 00:00:00 UTC,12.064135611001108,108577562943.01236,943782132.2926382
2018-10-09 00:00:00 UTC,12.376562355971213,111296447742.22775,987409602.4717805
2018-10-10 00:00:00 UTC,12.128580712756484,109162089600.3702,786934284.1836157
2018-10-11 00:00:00 UTC,11.61639401226052,104593353307.66632,1038644864.4046746
2018-10-12 00:00:00 UTC,10.207258474537529,91993026663.24492,1445687489.1443605
2018-10-13 00:00:00 UTC,10.36189023795352,93434368220.90352,1018107566.9817463
2018-10-14 00:00:00 UTC,10.537984811056464,94841872154.45058,698431588.0672289
2018-10-15 00:00:00 UTC,10.420826247601118,93874240378.2374,655693719.3569415
2018-10-16 00:00:00 UTC,10.948019149843846,98270509920.90349,1119596747.1874738
2018-10-17 00:00:00 UTC,10.93654646385092,98401768328.98578,735429319.1045406
2018-10-18 00:00:00 UTC,10.987589273679262,98889477694.87044,840641547.1342933
2018-10-19 00:00:00 UTC,10.669714604991047,96027431434.24974,712829131.7609863
2018-10-20 00:00:00 UTC,10.656051421085007,95899886898.09021,544633851.7402865
